Product Title,Product URL,Product Image,Old Price,New Price,Discount Price,Discount Percentage
Henna Powder Hair Dye - Saeed Ghani ,https://saeedghani.pk/collections/skin-care/products/henna-powder-hair-dye-100gm,https://saeedghani.pk/cdn/shop/products/HairDyePouch100gm_300x.jpg?v=1750941538,,Rs. 300,,
Tarchup Henna Powder,https://saeedghani.pk/collections/skin-care/products/tarchup-henna-powder-100gm,https://saeedghani.pk/cdn/shop/products/TarchupPowder100gm_300x.jpg?v=1750941540,,Rs. 180,,
Hair Hina Powder,https://saeedghani.pk/collections/skin-care/products/hair-hina-powder,https://saeedghani.pk/cdn/shop/products/hairpowder_300x.jpg?v=1750941551,,Rs. 240,,
Oil-Free Tinted Sunscreen With Niacinamide Serum,https://saeedghani.pk/collections/skin-care/products/oil-free-tinted-sunscreen-with-niacinamide-serum,https://saeedghani.pk/cdn/shop/files/SPF_5_300x.jpg?v=1750941238,,Rs. 700,,
Anti Aging Vitamin C Glow Boosting Kit,https://saeedghani.pk/collections/skin-care/products/vitamin-c-glow-boosting-kit,https://saeedghani.pk/cdn/shop/files/Vitamin_C_kit_copy_300x.jpg?v=1739307221,Rs. 2590,Rs. 2202,Rs. 388,-14%
Bundle of 4 Creams at the price of 3,https://saeedghani.pk/collections/skin-care/products/winter-steal-deal-bundle-of-4-creams-at-the-price-of-3,https://saeedghani.pk/cdn/shop/files/Winter_Steal_Deal_-_Bundle_of_4_Creams_at_the_price_of_3_copy_300x.jpg?v=1739307579,Rs. 1700,Rs. 1360,Rs. 340,-20%
Night Routine,https://saeedghani.pk/collections/skin-care/products/night-routine,https://saeedghani.pk/cdn/shop/files/night-routine_300x.jpg?v=1717670810,Rs. 1950,Rs. 1658,Rs. 292,-14%
Acne-Free Glow Kit,https://saeedghani.pk/collections/skin-care/products/clear-acne-essentials,https://saeedghani.pk/cdn/shop/files/Acne-Free_Glow_Kit_copy_300x.jpg?v=1739309183,Rs. 1720,Rs. 1462,Rs. 258,-15%
Modern Man Essentials Bundle,https://saeedghani.pk/collections/skin-care/products/modern-man-essentials-bundle,https://saeedghani.pk/cdn/shop/files/men_copy_300x.jpg?v=1739348880,Rs. 2890,Rs. 2457,Rs. 433,-14%
Steal Deal: Pack of 3 Lotions at the price of 2,https://saeedghani.pk/collections/skin-care/products/steal-deal-pack-of-3-lotions-at-the-price-of-2,https://saeedghani.pk/cdn/shop/files/Steal_deal_-_Pack_of_3_lotions_at_the_price_of_2_300x.png?v=1730813328,Rs. 1200,Rs. 900,Rs. 300,-25%
